Product ID,Product Position,Promotion,Product Category,Seasonal,Sales Volume,brand,price,currency,terms,section
185102,Aisle,No,Clothing,No,2823,Zara,19.99,USD,jackets,MAN
188771,Aisle,No,Clothing,No,654,Zara,169,USD,jackets,MAN
180176,End-cap,Yes,Clothing,Yes,2220,Zara,129,USD,jackets,MAN
112917,Aisle,Yes,Clothing,Yes,1568,Zara,129,USD,jackets,MAN
192936,End-cap,No,Clothing,Yes,2942,Zara,139,USD,jackets,MAN
117590,End-cap,No,Clothing,No,2968,Zara,79.9,USD,jackets,MAN
189118,Front of Store,Yes,Clothing,Yes,952,Zara,69.99,USD,jackets,MAN
182157,Aisle,No,Clothing,No,2421,Zara,159,USD,jackets,MAN
141861,Aisle,Yes,Clothing,Yes,1916,Zara,169,USD,jackets,MAN
137121,Aisle,No,Clothing,Yes,656,Zara,169,USD,jackets,MAN
113143,Aisle,Yes,Clothing,Yes,2663,Zara,129,USD,jackets,MAN
140028,Aisle,Yes,Clothing,Yes,1260,Zara,159,USD,jackets,MAN
134693,Aisle,Yes,Clothing,No,2124,Zara,169,USD,jackets,MAN
151396,Front of Store,Yes,Clothing,Yes,729,Zara,439,USD,jackets,MAN
132889,Aisle,Yes,Clothing,Yes,2265,Zara,99.9,USD,jackets,MAN
152174,End-cap,No,Clothing,No,2226,Zara,99.9,USD,jackets,MAN
129906,Aisle,No,Clothing,No,2089,Zara,69.9,USD,jackets,MAN
195879,Front of Store,Yes,Clothing,Yes,2339,Zara,129,USD,jackets,MAN
155050,Aisle,No,Clothing,Yes,2321,Zara,129,USD,jackets,MAN
194410,End-cap,No,Clothing,No,669,Zara,159,USD,jackets,MAN
141904,End-cap,Yes,Clothing,Yes,1712,Zara,109,USD,jackets,MAN
124981,Front of Store,No,Clothing,Yes,1832,Zara,89.9,USD,jackets,MAN
161909,Aisle,Yes,Clothing,No,1290,Zara,299,USD,jackets,MAN
129152,End-cap,No,Clothing,No,2356,Zara,49.9,USD,jackets,MAN
183243,Front of Store,Yes,Clothing,No,1524,Zara,169,USD,jackets,MAN
198248,Front of Store,Yes,Clothing,No,1644,Zara,69.9,USD,jackets,MAN
191230,End-cap,No,Clothing,No,966,Zara,89.9,USD,jackets,MAN
187234,Front of Store,Yes,Clothing,Yes,2575,Zara,59.9,USD,jackets,MAN
148888,Front of Store,No,Clothing,No,2774,Zara,109,USD,jackets,MAN
110805,Front of Store,Yes,Clothing,No,2477,Zara,159,USD,jackets,MAN
179801,Front of Store,No,Clothing,Yes,2608,Zara,129,USD,jackets,MAN
134927,Aisle,Yes,Clothing,Yes,2252,Zara,129,USD,jackets,MAN
123150,End-cap,Yes,Clothing,No,2074,Zara,129,USD,jackets,MAN
159145,End-cap,Yes,Clothing,No,2579,Zara,109,USD,jackets,MAN
172364,Aisle,Yes,Clothing,No,2931,Zara,109,USD,jackets,MAN
178281,End-cap,No,Clothing,Yes,1145,Zara,109,USD,jackets,MAN
194339,End-cap,No,Clothing,No,1792,Zara,89.9,USD,jackets,MAN
174412,Aisle,No,Clothing,Yes,1796,Zara,69.9,USD,jackets,MAN
114877,Aisle,No,Clothing,No,1860,Zara,349,USD,jackets,MAN
140727,End-cap,Yes,Clothing,Yes,1002,Zara,79.9,USD,jackets,MAN
133109,Front of Store,No,Clothing,Yes,2063,Zara,79.9,USD,jackets,MAN
127296,Aisle,No,Clothing,No,1165,Zara,89.9,USD,jackets,MAN
133757,Aisle,Yes,Clothing,No,2071,Zara,129,USD,jackets,MAN
111760,End-cap,No,Clothing,No,1474,Zara,109,USD,jackets,MAN
198375,End-cap,No,Clothing,No,2202,Zara,69.9,USD,jackets,MAN
168837,Aisle,No,Clothing,No,665,Zara,89.9,USD,jackets,MAN
138505,Front of Store,No,Clothing,No,2478,Zara,69.9,USD,jackets,MAN
116228,End-cap,Yes,Clothing,No,647,Zara,89.9,USD,jackets,MAN
167592,Front of Store,Yes,Clothing,No,707,Zara,89.9,USD,jackets,MAN
133100,End-cap,Yes,Clothing,No,2729,Zara,89.9,USD,jackets,MAN
119955,Front of Store,No,Clothing,No,1590,Zara,89.9,USD,jackets,MAN
189349,End-cap,Yes,Clothing,No,1245,Zara,89.9,USD,jackets,MAN
127478,Front of Store,No,Clothing,Yes,2498,Zara,129,USD,jackets,MAN
